Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
AB3Lh2Gr,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,17/01/2024,13:00,1/16-finals,Adana Demirspor,24 Erzincanspor,2,2,"[89, 90]","[65, 77]",bet365,1.57,3.0,8.5,bet365,1.22,6.5,11.0,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.83,1.83,bet365,1.05,1.11,4.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,126.0,bet365,11.0,bet365,13.0,bet365,29.0,bet365,67.0,bet365,8.0,bet365,10.0,bet365,21.0,bet365,51.0,bet365,8.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,2.38,1.55,bet365,1.98,1.88,bet365,1.6,2.3,bet365,1.3,3.45,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,bet365,2.38,4.33,2.3,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,17.0,11.0,7.0,3.0,10.0,8.0,,,,,,,,,,,,,7.0,7.0,,,,,,,4.0,3.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,0.54,0.46,2.0,3.0,1.0,0.0,1.0,3.0,,,3.0,2.0,1.0,0.0,,,,,0.0,1.0,,,,,,,0.6,0.4,9.0,7.0,4.0,2.0,5.0,5.0,,,4.0,5.0,2.0,0.0,,,,,,,0.0,2.0
UH5hkT9j,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,17/01/2024,11:00,1/16-finals,Alanyaspor,Samsunspor,1,3,[16],"[73, 91, 120]",bet365,2.4,2.2,4.75,bet365,1.8,3.5,4.33,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.05,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.2,1.29,1.95,bet365,9.5,bet365,11.0,bet365,21.0,bet365,51.0,bet365,7.0,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,2.43,1.53,bet365,1.8,2.05,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.5,9.5,1.1,Betano.br,7.8,5.5,1.32,bet365,3.2,3.75,1.95,Betano.br,1.25,5.7,10.5,Betano.br,1.07,10.75,25.0,Betano.br,1.02,17.0,40.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,12.0,9.0,4.0,3.0,8.0,6.0,,,,,,,,,,,,,6.0,4.0,,,,,,,3.0,2.0,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,0.51,0.49,3.0,2.0,1.0,0.0,2.0,2.0,,,0.0,4.0,,,,,,,0.0,0.0,,,,,,,0.49,0.51,5.0,3.0,2.0,1.0,3.0,2.0,,,6.0,0.0,0.0,2.0,,,,,,,0.0,2.0
xKQDdBHG,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,17/01/2024,09:00,1/16-finals,Gaziantep,Bodrumspor,1,0,[90],[],bet365,2.75,2.1,4.0,bet365,2.05,3.4,3.5,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.29,1.3,1.73,bet365,9.0,bet365,9.5,bet365,17.0,bet365,41.0,bet365,7.0,bet365,6.5,bet365,12.0,bet365,29.0,bet365,9.5,bet365,9.0,bet365,15.0,bet365,41.0,bet365,19.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.8,1.25,bet365,3.1,1.35,bet365,2.05,1.75,bet365,1.3,3.45,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,19.5,10.25,1.09,Betano.br,8.75,5.8,1.28,bet365,4.0,3.75,1.73,Betano.br,1.3,5.3,9.0,Betano.br,1.08,10.0,22.0,Betano.br,1.02,16.0,40.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,6.0,3.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,9.0,2.0,,,,,,,1.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.0,,,3.0,1.0,,,,,,,1.0,1.0,,,,,,,0.65,0.35,4.0,2.0,3.0,0.0,1.0,2.0,,,6.0,1.0,1.0,1.0,,,,,,,0.0,2.0
00dYk001,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,17/01/2024,07:00,1/16-finals,Antalyaspor,Pendikspor,2,1,"[49, 58]",[32],bet365,2.3,2.3,4.75,bet365,1.73,3.75,4.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.18,1.25,2.05,bet365,12.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,8.0,bet365,7.0,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.7,2.1,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.5,8.75,1.13,Betano.br,6.6,5.2,1.38,bet365,2.88,3.75,2.05,Betano.br,1.21,6.1,12.0,Betano.br,1.05,11.75,29.0,Betano.br,1.01,17.5,45.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,20.0,11.0,9.0,2.0,11.0,9.0,,,,,,,,,,,,,5.0,3.0,,,,,,,0.0,4.0,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,0.59,0.41,12.0,6.0,4.0,2.0,8.0,4.0,,,2.0,0.0,,,,,,,1.0,4.0,,,,,,,0.55,0.45,8.0,5.0,5.0,0.0,3.0,5.0,,,3.0,3.0,0.0,4.0,,,,,,,0.0,3.0
E30xkKF7,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,17/01/2024,07:00,1/16-finals,Basaksehir,Boluspor,1,0,[19],[],bet365,1.67,2.75,9.5,bet365,1.25,5.75,12.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,2.1,1.67,bet365,1.05,1.14,3.75,bet365,13.0,bet365,26.0,bet365,51.0,bet365,151.0,bet365,8.0,bet365,11.0,bet365,29.0,bet365,81.0,bet365,6.5,bet365,9.5,bet365,23.0,bet365,67.0,bet365,7.5,bet365,11.0,bet365,29.0,bet365,67.0,bet365,2.75,1.43,bet365,2.2,1.65,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,5.5,5.4,1.42,bet365,2.75,4.0,2.1,Betano.br,1.75,3.95,4.0,Betano.br,1.06,10.5,30.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.66,0.34,,,,,,,,,,,7.0,5.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,5.0,3.0,,,,,,,1.0,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.57,0.43,4.0,3.0,1.0,1.0,3.0,2.0,,,2.0,2.0,1.0,0.0,,,,,1.0,0.0,,,,,,,0.75,0.25,3.0,2.0,2.0,2.0,1.0,0.0,,,3.0,1.0,0.0,1.0,,,,,,,2.0,2.0
bTR9ci2A,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,16/01/2024,15:00,1/16-finals,Besiktas,Eyupspor,4,0,"[16, 36, 67, 87]",[],bet365,1.95,2.63,5.5,bet365,1.5,4.5,5.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.57,2.25,bet365,1.14,1.18,2.5,bet365,19.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,10.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.83,2.03,bet365,1.5,2.5,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.0,6.7,1.26,Betano.br,4.05,4.6,1.65,bet365,2.25,4.0,2.5,Betano.br,1.14,7.8,15.0,Betano.br,1.04,13.5,32.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,6.0,0.0,5.0,0.0,1.0,0.0,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,1.0,,,,,,,0.0,0.0,,,,,,,0.43,0.57,4.0,0.0,3.0,0.0,1.0,0.0,,,6.0,0.0,,,,,,,,,0.0,1.0
vmmqCjH3,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,16/01/2024,13:00,1/16-finals,Ankaragucu,Rizespor,3,1,"[57, 90, 90]",[83],bet365,2.6,2.2,4.33,bet365,1.95,3.5,3.8,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.03,1.83,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.25,1.29,1.8,bet365,9.5,bet365,11.0,bet365,19.0,bet365,41.0,bet365,7.0,bet365,6.5,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,bet365,7.0,1.1,bet365,3.7,1.26,bet365,2.85,1.4,bet365,2.03,1.83,bet365,1.3,3.45,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,21.0,10.75,1.08,Betano.br,9.25,6.1,1.25,bet365,3.5,3.75,1.8,Betano.br,1.33,5.1,8.25,Betano.br,1.09,9.5,20.0,Betano.br,1.02,15.5,37.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,15.0,4.0,8.0,2.0,7.0,2.0,,,,,,,,,,,,,2.0,4.0,,,,,,,0.0,2.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,0.49,0.51,5.0,1.0,2.0,1.0,3.0,0.0,,,0.0,1.0,,,,,,,1.0,2.0,,,,,,,0.57,0.43,10.0,3.0,6.0,1.0,4.0,2.0,,,2.0,3.0,0.0,2.0,,,,,,,0.0,3.0
pQmuDW1c,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,16/01/2024,11:00,1/16-finals,Hatayspor,Sakaryaspor,5,1,"[3, 24, 32, 41, 90]",[19],bet365,2.1,2.38,5.5,bet365,1.53,4.2,5.0,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.8,1.91,bet365,1.17,1.22,2.38,bet365,13.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,12.0,bet365,23.0,bet365,51.0,bet365,4.5,1.19,bet365,3.7,1.26,bet365,2.43,1.53,bet365,1.93,1.93,bet365,1.53,2.43,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.75,6.5,1.22,Betano.br,4.3,4.35,1.6,bet365,2.4,3.75,2.38,Betano.br,1.15,6.8,13.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,15.0,10.0,8.0,4.0,7.0,6.0,,,,,,,,,,,,,6.0,4.0,,,,,,,1.0,3.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,0.53,0.47,9.0,5.0,4.0,4.0,5.0,1.0,,,1.0,1.0,0.0,2.0,,,,,3.0,0.0,,,,,,,0.53,0.47,6.0,5.0,4.0,0.0,2.0,5.0,,,5.0,3.0,1.0,1.0,,,,,,,0.0,3.0
YoKMfknT,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,16/01/2024,09:00,1/16-finals,Kasimpasa,Bandirmaspor,0,1,[],[39],bet365,1.91,2.75,5.5,bet365,1.45,4.75,5.75,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.53,2.38,bet365,1.14,1.18,2.63,bet365,21.0,bet365,23.0,bet365,34.0,bet365,51.0,bet365,12.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,9.5,bet365,9.0,bet365,15.0,bet365,34.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.55,1.28,bet365,3.0,1.38,bet365,2.15,1.68,bet365,1.7,2.1,bet365,1.48,2.6,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.9,6.1,1.28,Betano.br,3.65,4.45,1.7,bet365,2.1,4.33,2.63,Betano.br,1.14,7.2,13.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,12.0,4.0,5.0,1.0,7.0,3.0,,,,,,,,,,,,,10.0,2.0,,,,,11.0,11.0,1.0,1.0,,,4.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,0.54,0.46,7.0,2.0,1.0,1.0,6.0,1.0,,,6.0,1.0,,,6.0,4.0,1.0,1.0,0.0,1.0,,,,,,,0.46,0.54,5.0,2.0,4.0,0.0,1.0,2.0,,,4.0,1.0,1.0,1.0,,,5.0,7.0,3.0,0.0,0.0,4.0
6ZlyECni,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,16/01/2024,07:00,1/16-finals,Karagumruk,Kirklarelispor,2,0,"[54, 84]",[],bet365,1.62,3.1,7.0,bet365,1.4,5.25,6.0,bet365,1.17,5.0,bet365,1.85,1.95,bet365,3.75,1.25,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.73,2.0,bet365,1.13,1.17,2.75,bet365,19.0,bet365,19.0,bet365,34.0,bet365,67.0,bet365,9.5,bet365,11.0,bet365,19.0,bet365,41.0,bet365,8.0,bet365,9.0,bet365,19.0,bet365,41.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,51.0,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.4,2.85,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,bet365,2.0,4.0,2.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,15.0,3.0,7.0,1.0,8.0,2.0,,,,,,,,,,,,,5.0,1.0,,,,,11.0,11.0,2.0,3.0,,,4.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,0.54,0.46,5.0,1.0,2.0,1.0,3.0,0.0,,,3.0,1.0,0.0,2.0,6.0,6.0,1.0,2.0,1.0,2.0,,,,,,,0.52,0.48,10.0,2.0,5.0,0.0,5.0,2.0,,,2.0,0.0,2.0,1.0,,,5.0,5.0,3.0,3.0,0.0,3.0
lEb8SOmk,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,07/12/2023,15:00,1/32-finals,Basaksehir,Sanliurfaspor,2,0,"[63, 72]",[],bet365,1.67,2.75,8.0,bet365,1.25,5.0,8.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.83,1.83,bet365,1.07,1.14,3.5,bet365,17.0,bet365,26.0,bet365,41.0,bet365,101.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,7.5,bet365,9.5,bet365,19.0,bet365,51.0,bet365,8.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,2.85,1.4,bet365,2.3,1.6,bet365,1.78,2.03,bet365,1.43,2.75,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,4.9,5.1,1.45,bet365,2.75,4.33,2.0,Betano.br,1.72,4.1,3.8,Betano.br,1.07,9.25,20.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGBbwt27,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,07/12/2023,13:00,1/32-finals,Rizespor,Bucaspor 1928,4,0,"[41, 47, 70, 88]",[],bet365,1.73,2.75,7.5,bet365,1.25,5.0,8.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.8,1.91,bet365,1.07,1.14,3.5,bet365,19.0,bet365,26.0,bet365,41.0,bet365,101.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,7.5,bet365,9.0,bet365,19.0,bet365,51.0,bet365,8.5,bet365,11.0,bet365,23.0,bet365,51.0,bet365,2.85,1.4,bet365,2.3,1.6,bet365,1.78,2.03,bet365,1.43,2.75,bet365,1.3,3.45,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,bet365,2.88,4.33,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z7IXYQAL,TURKEY,2023-2024,Turkish Cup 2023 2024,TURKEY CUP,07/12/2023,11:00,1/32-finals,Ankaragucu,Iskenderunspor,3,1,"[16, 68, 75]",[22],bet365,1.62,3.0,7.5,bet365,1.22,5.5,8.5,bet365,1.18,4.5,bet365,1.95,1.85,bet365,3.75,1.25,bet365,1.01,23.0,bet365,1.08,8.0,bet365,1.33,3.4,bet365,1.8,1.91,bet365,2.75,1.4,bet365,1.67,2.1,bet365,1.07,1.13,3.75,bet365,23.0,bet365,34.0,bet365,51.0,bet365,101.0,bet365,12.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,8.5,bet365,10.0,bet365,19.0,bet365,41.0,bet365,9.0,bet365,10.0,bet365,21.0,bet365,41.0,bet365,2.5,1.5,bet365,2.03,1.78,bet365,1.65,2.2,bet365,1.35,3.1,bet365,1.26,3.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,bet365,2.5,4.33,2.2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
